season,round,pick,team,name,position,college,conference,day_of_birth,age,top_executive,link_ras,RAS,AllTime
2022,4,124,CLE,Cade York,K,LSU,SEC,2001-01-27,21.59,Andrew Berry,http://RAS.football/ras-information/?PlayerID=21575,NA,NA
2022,4,125,MIA,Erik Ezukanma,WR,Texas Tech,Big 12,2000-01-25,22.6,Chris Grier,http://RAS.football/ras-information/?PlayerID=21370,7.05,7.05
2022,4,126,LV,Neil Farrell Jr.,DT,LSU,SEC,1998-09-09,23.98,Dave Ziegler,http://RAS.football/ras-information/?PlayerID=21167,0.86,0.86
2022,4,127,NE,Pierre Strong Jr.,RB,South Dakota State,MVFC,1998-12-10,23.73,Bill Belichick,http://RAS.football/ras-information/?PlayerID=21372,9.35,9.35
2022,4,128,BAL,Charlie Kolar,TE,Iowa State,Big 12,1999-02-10,23.56,Eric DeCosta,http://RAS.football/ras-information/?PlayerID=21114,9.12,9.12
2022,4,129,DAL,Jake Ferguson,TE,Wisconsin,Big Ten,1999-01-18,23.62,Jerry Jones,http://RAS.football/ras-information/?PlayerID=21117,6.8,6.8
2022,4,130,BAL,Jordan Stout,P,Penn State,Big Ten,1998-08-04,24.08,Eric DeCosta,http://RAS.football/ras-information/?PlayerID=21179,NA,NA
2022,4,131,TEN,Hassan Haskins,RB,Michigan,Big Ten,1999-11-26,22.77,Jon Robinson,http://RAS.football/ras-information/?PlayerID=21111,NA,NA
2022,4,132,GB,Romeo Doubs,WR,Nevada,MW,2000-04-13,22.38,Brian Gutekunst,http://RAS.football/ras-information/?PlayerID=21119,NA,NA
2022,4,133,TB,Jake Camarda,P,Georgia,SEC,1999-04-20,23.37,Jason Licht,http://RAS.football/ras-information/?PlayerID=21040,NA,NA
2022,4,134,SF,Spencer Burford,OT,UTSA,C-USA,2000-07-19,22.12,John Lynch,http://RAS.football/ras-information/?PlayerID=21106,8.24,8.24
2022,4,135,KC,Joshua Williams,CB,Fayetteville State,CIAA,1999-10-17,22.87,Brett Veach,http://RAS.football/ras-information/?PlayerID=21051,9.36,9.36
2022,4,136,CIN,Cordell Volson,OT,North Dakota State,MVFC,1998-07-20,24.12,Duke Tobin,http://RAS.football/ras-information/?PlayerID=21559,6.06,6.06
2022,4,137,NE,Bailey Zappe,QB,Western Kentucky,C-USA,1999-04-26,23.35,Bill Belichick,http://RAS.football/ras-information/?PlayerID=21036,5.98,5.98
2022,4,138,PIT,Calvin Austin,WR,Memphis,The American,1999-03-24,23.44,Kevin Colbert,http://RAS.football/ras-information/?PlayerID=21021,9.04,9.04
2022,4,139,BAL,Isaiah Likely,TE,Coastal Carolina,Sun Belt,2000-04-18,22.37,Eric DeCosta,http://RAS.football/ras-information/?PlayerID=21112,4.88,4.88
2022,4,140,GB,Zach Tom,OG,Wake Forest,ACC,1999-03-26,23.44,Brian Gutekunst,http://RAS.football/ras-information/?PlayerID=21566,9.59,9.59
2022,4,141,BAL,Damarion Williams,CB,Houston,The American,1998-07-15,24.13,Eric DeCosta,http://RAS.football/ras-information/?PlayerID=21159,6.2,6.2
2022,4,142,LA,Decobie Durant,CB,South Carolina State,MEAC,1998-02-09,24.56,Les Snead,http://RAS.football/ras-information/?PlayerID=21158,5.11,5.11
2022,4,143,TEN,Chigoziem Okonkwo,TE,Maryland,Big Ten,1999-09-08,22.98,Jon Robinson,http://RAS.football/ras-information/?PlayerID=21014,6.46,6.46
2022,5,144,WAS,Sam Howell,QB,North Carolina,ACC,2000-09-16,21.96,Martin Mayhew,http://RAS.football/ras-information/?PlayerID=21398,NA,NA
2022,5,145,KC,Darian Kinnard,OT,Kentucky,SEC,1999-12-29,22.67,Brett Veach,http://RAS.football/ras-information/?PlayerID=21098,5.29,5.29
2022,5,146,NYG,Micah McFadden,LB,Indiana,Big Ten,2000-01-03,22.66,Joe Schoen,http://RAS.football/ras-information/?PlayerID=20997,9.46,9.46
2022,5,147,NYG,D.J. Davidson,DT,Arizona State,Pac-12,1999-12-16,22.71,Joe Schoen,http://RAS.football/ras-information/?PlayerID=21360,4.15,4.15
2022,5,148,BUF,Khalil Shakir,WR,Boise State,MW,2000-02-03,22.58,Brandon Beane,http://RAS.football/ras-information/?PlayerID=21118,8.32,8.32
2022,5,149,WAS,Cole Turner,TE,Nevada,MW,2000-03-16,22.46,Martin Mayhew,http://RAS.football/ras-information/?PlayerID=20991,7.43,7.43
2022,5,150,HOU,Thomas Booker,DT,Stanford,Pac-12,1999-11-11,22.81,Nick Caserio,http://RAS.football/ras-information/?PlayerID=21154,9.88,9.88
2022,5,151,ATL,Tyler Allgeier,RB,BYU,Ind. (FBS),2000-04-15,22.38,Terry Fontenot,http://RAS.football/ras-information/?PlayerID=21383,7.44,7.44
2022,5,152,DEN,Delarrin Turner-Yell,S,Oklahoma,Big 12,1999-12-16,22.71,George Paton,http://RAS.football/ras-information/?PlayerID=21410,7.46,7.46
2022,5,153,SEA,Tariq Woolen,CB,UTSA,C-USA,1999-05-02,23.33,John Schneider,http://RAS.football/ras-information/?PlayerID=21070,9.71,9.71
